cz,czname,pop2000,fips,statename,stateabbrv,le_agg_slope_q1_F,le_raceadj_slope_q1_F,le_agg_slope_q2_F,le_raceadj_slope_q2_F,le_agg_slope_q3_F,le_raceadj_slope_q3_F,le_agg_slope_q4_F,le_raceadj_slope_q4_F,le_agg_slope_q1_M,le_raceadj_slope_q1_M,le_agg_slope_q2_M,le_raceadj_slope_q2_M,le_agg_slope_q3_M,le_raceadj_slope_q3_M,le_agg_slope_q4_M,le_raceadj_slope_q4_M,sd_le_agg_slope_q1_F,sd_le_raceadj_slope_q1_F,sd_le_agg_slope_q2_F,sd_le_raceadj_slope_q2_F,sd_le_agg_slope_q3_F,sd_le_raceadj_slope_q3_F,sd_le_agg_slope_q4_F,sd_le_raceadj_slope_q4_F,sd_le_agg_slope_q1_M,sd_le_raceadj_slope_q1_M,sd_le_agg_slope_q2_M,sd_le_raceadj_slope_q2_M,sd_le_agg_slope_q3_M,sd_le_raceadj_slope_q3_M,sd_le_agg_slope_q4_M,sd_le_raceadj_slope_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
302,"Knoxville",727600,47,"Tennessee","TN",-.1196147,-.10912,.035712,.0369538,.1582416,.1550693,.1480584,.1418095,-.1408022,-.1334046,-.0109003,-.0084114,-.0562724,-.0462036,.0839618,.0818362,.1121087,.1078576,.1195878,.1147894,.1457237,.1390244,.1626292,.1565428,.0840559,.0826506,.1188889,.1167715,.1407825,.136024,.1530419,.1485378,429563,433760,416717,353042,401696,414663,402070,332210
500,"Greensboro",1055133,37,"North Carolina","NC",.0822302,.0950059,.0150006,.0216289,.2171795,.2111187,.1730116,.1666198,.1067893,.1139877,.1583865,.160768,.17741,.1749497,.2350728,.2278102,.0988913,.0956923,.1057373,.1011865,.1202472,.1153209,.1775147,.1716968,.0734039,.0731228,.1074201,.105049,.1222072,.1184462,.151228,.1462804,668573,652306,597988,441495,604882,620540,565317,410875
900,"Charlotte",1423942,37,"North Carolina","NC",.1223297,.131414,.0722896,.0733363,.0453522,.043321,-.0101153,-.0121041,.127255,.132311,.1893627,.1917434,.1400845,.1412631,.1856459,.1824459,.0830804,.0805691,.0949015,.0917501,.115054,.111396,.1386695,.1339125,.0675997,.0676189,.0929309,.0913058,.1040428,.1015193,.1188192,.1154143,875481,896560,863508,943669,783282,821382,828656,933342
1400,"Fayetteville",644101,37,"North Carolina","NC",.380782,.3880125,.2454978,.2547675,.5976097,.5902697,-.188427,-.1771104,.0775498,.0929968,.1078315,.1263961,.192974,.1974609,-.3961813,-.3675294,.116513,.113618,.1583559,.1525539,.18074,.1762238,.2196162,.2125639,.0839519,.084983,.1280481,.1262813,.1633623,.1582367,.1851293,.1793216,455646,343966,287087,182435,365008,335444,276920,166806
1701,"Raleigh",1412127,37,"North Carolina","NC",.0766841,.0843597,.2710255,.2669969,.237308,.2287494,.3598813,.3437747,.2114219,.2110472,.2232551,.2231605,.1015134,.1056765,.2948035,.2855866,.1001141,.0966207,.1137896,.1097567,.1269502,.1221325,.1218454,.1186947,.0774289,.0770893,.0992913,.0981355,.1068595,.1040786,.1088723,.1057204,717112,842283,860097,1106006,657336,710211,802809,1085361
2000,"Virginia Beach",1119468,51,"Virginia","VA",.0913099,.0955134,.1041503,.1099123,.3488907,.3472354,.0598727,.0598484,.068752,.076071,.424155,.4332426,.2192886,.2297479,.571095,.5609567,.1103308,.107763,.1334386,.1295097,.1326992,.1295413,.1484005,.1447024,.0783846,.0793322,.101207,.0999257,.1172906,.1145865,.1316996,.1288668,609407,616312,648948,586159,476072,577773,648008,557533
2400,"Richmond",1040192,51,"Virginia","VA",.2514519,.255248,.3233831,.3230164,.415508,.4039737,.2474346,.2414993,.2478596,.2559097,.0460667,.0594865,.0977651,.1085437,.4638797,.4522462,.1024382,.0986571,.1157857,.1122182,.125573,.1211856,.1460284,.1415128,.0786942,.0797393,.1060359,.1046814,.1265216,.1237217,.1206148,.1163957,531211,646722,675707,758431,464417,541103,633877,720999
3300,"New Orleans",1381652,22,"Louisiana","LA",.1465531,.1481222,.1405427,.1417524,.3791853,.3695889,.0209816,.02219,.1667762,.1679046,.1786869,.1850226,.3378798,.3360149,.2581207,.2529403,.0835308,.0816475,.1133714,.1093641,.1339429,.1297892,.1512589,.1465999,.0670445,.0669552,.0934593,.0914881,.1209093,.1185489,.1338008,.1293504,843695,645878,543718,539718,707386,602934,540498,525739
3500,"Baton Rouge",806561,22,"Louisiana","LA",-.0199273,.0064399,.2417542,.2476444,.3008267,.2947042,-.1314759,-.1221061,-.1034749,-.0818424,-.1158671,-.0981519,.1390561,.1439112,.2178326,.2186919,.1062555,.1034023,.1516923,.1473334,.1539654,.1481893,.1507917,.1454404,.08455,.0853175,.1158492,.1140809,.1413877,.1371429,.1606506,.1562479,525346,414801,384746,385982,397188,382296,397443,377397
4200,"Little Rock",630854,5,"Arkansas","AR",-.1892233,-.1541395,.0399275,.0537412,.3266929,.3238003,.092275,.0908716,.0108331,.0380214,.0625341,.0826673,.5973217,.5950685,.2136996,.2160237,.124876,.1221739,.1215929,.1168156,.1721452,.1674712,.2032918,.1984796,.0945976,.0943147,.1154189,.1123755,.1398005,.1375249,.1895119,.1859596,361087,376795,361253,305336,328341,339866,338005,287024
