cz,czname,pop2000,fips,statename,stateabbrv,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,sd_le_agg_q1_F,sd_le_raceadj_q1_F,sd_le_agg_q2_F,sd_le_raceadj_q2_F,sd_le_agg_q3_F,sd_le_raceadj_q3_F,sd_le_agg_q4_F,sd_le_raceadj_q4_F,sd_le_agg_q1_M,sd_le_raceadj_q1_M,sd_le_agg_q2_M,sd_le_raceadj_q2_M,sd_le_agg_q3_M,sd_le_raceadj_q3_M,sd_le_agg_q4_M,sd_le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
800,"Gastonia",413331,37,"North Carolina","NC",80.41958,81.25001,83.72351,84.16605,85.41705,85.76662,87.33075,87.66739,74.15158,75.01979,78.91752,79.40258,81.22948,81.64541,84.56876,84.94565,.2970018,.2938073,.3226274,.3126009,.3883556,.3768881,.4934548,.4688837,.2123169,.2240693,.2681075,.2694515,.3449508,.3426571,.4548361,.4385377,320964,311054,285278,177507,285392,318219,278434,164277
900,"Charlotte",1423942,37,"North Carolina","NC",81.44075,82.32784,84.1955,84.70934,85.72926,86.07633,87.55404,87.80398,75.27316,76.23858,79.33267,79.91441,82.33009,82.73731,84.96436,85.26672,.1755884,.1824373,.1983501,.1952895,.2173067,.2132802,.2262618,.2199538,.1395701,.1560363,.1773755,.1830739,.1931985,.1927044,.2146822,.2104394,998780,1026849,993688,1071960,884986,937699,951334,1059020
1001,"Boone",77361,37,"North Carolina","NC",83.07815,83.41571,85.05871,85.38209,88.22464,88.47833,87.54662,87.91784,77.52647,77.94613,82.42858,82.77787,85.33252,85.61376,85.41779,85.77105,.6358973,.613891,.8227044,.7864586,.847969,.8021619,1.315776,1.243402,.5547366,.5518978,.6696017,.6450815,.8207508,.7852889,1.109244,1.066048,54926,52327,41336,28704,55970,50754,36315,25706
1002,"Morganton",164760,37,"North Carolina","NC",81.61884,82.07056,84.07642,84.48929,86.1028,86.46727,87.3522,87.6469,75.47655,75.9605,79.80314,80.26934,82.73431,83.1172,84.78052,85.11317,.4616119,.4455701,.5219632,.5008945,.691101,.6593844,.9522219,.9010797,.3337493,.3364438,.4163733,.4077345,.5468442,.529222,.8574752,.8191605,125186,129283,99729,41398,122674,128692,91671,36166
1100,"Hickory",375363,37,"North Carolina","NC",80.65305,81.2917,83.46311,83.84912,85.65677,86.02859,87.6196,87.94627,74.73253,75.39882,79.62976,80.06304,81.2906,81.73612,84.75634,85.14516,.3121404,.3069996,.3365864,.3268031,.3932252,.3787989,.4548985,.4307745,.2298213,.2338466,.2847273,.2802402,.3485375,.34586,.4858572,.4662491,284972,299912,280917,196422,267425,308291,271392,186541
1201,"Franklin",44861,37,"North Carolina","NC",83.5615,83.80749,85.58009,85.91427,87.64794,87.88673,87.10823,87.40504,77.22906,77.61839,81.58836,81.99303,83.15296,83.51788,84.61564,84.86538,.6828753,.6495236,.795504,.7571357,.9139661,.8669114,1.647807,1.57853,.5972035,.5864362,.760268,.7393155,1.123293,1.086248,1.201407,1.16627,42493,37310,28282,17739,39144,35397,23745,14857
1202,"Sylva",54082,37,"North Carolina","NC",81.07983,81.52957,85.28596,85.63503,86.87333,87.16924,88.02593,88.22886,75.06171,75.51405,80.34886,80.77025,82.36712,82.75207,83.6325,83.89735,.6909901,.6696345,.8296789,.7859116,1.018058,.9650214,1.34119,1.279746,.5328516,.5263433,.7386283,.7200564,.9901488,.9579645,1.268967,1.22659,47630,42906,31354,17544,44373,39884,27714,14767
1203,"Asheville",398505,37,"North Carolina","NC",82.51892,82.97842,85.27712,85.6162,86.1613,86.50632,88.97956,89.19165,76.74987,77.27004,81.33156,81.73461,83.68065,84.03802,85.00414,85.32887,.2733012,.2684303,.3184489,.3111177,.3726531,.359522,.3867599,.3659219,.240087,.2459049,.2893915,.2827976,.3482906,.3441252,.4313092,.4221911,320236,323430,289750,197950,293361,292615,256639,172403
1204,"Andrews",59681,37,"North Carolina","NC",84.08735,84.3624,85.11439,85.46265,87.97266,88.22732,87.90396,88.22292,76.93578,77.36708,80.9362,81.3414,84.14233,84.49002,84.90699,85.27431,.5588804,.5332415,.7854236,.7524669,.7692105,.7294888,1.193747,1.126747,.4943751,.4908444,.7225946,.7093966,.8104776,.7765535,1.212489,1.164265,63122,51517,37219,23036,56192,48010,31925,19465
1301,"Bennettsville",71586,45,"South Carolina","SC",81.3118,82.68379,85.20126,85.87486,83.53135,84.35524,87.93304,88.23145,73.46687,75.02621,78.51843,79.25502,80.92459,81.71882,83.1958,83.67592,.6153821,.6038204,.7566498,.722161,1.17774,1.127742,1.950832,1.882438,.4618183,.4812374,.7060903,.6969565,1.010186,.9858235,1.472691,1.432323,74059,44472,28797,12382,60426,48308,28333,10853
1302,"Florence",548986,45,"South Carolina","SC",81.75591,82.85237,83.89207,84.54859,85.1567,85.64846,86.63807,86.995,74.66911,75.93496,79.01105,79.74113,82.16009,82.68779,83.67612,84.106,.2300782,.2429688,.2761071,.2694601,.3276391,.3160707,.4377849,.4197041,.1769375,.2013959,.2391462,.2401692,.3006089,.297061,.3946215,.3860824,584868,389315,303839,219654,472395,364911,277671,197916
1400,"Fayetteville",644101,37,"North Carolina","NC",81.23965,82.08025,83.48983,84.12926,83.83321,84.34858,86.94228,87.2886,74.82114,75.91001,79.13751,79.89086,82.26054,82.82607,84.1977,84.6446,.2372576,.2451664,.30835,.2999483,.3598156,.3508242,.4149227,.3997705,.1874979,.1996499,.2651863,.2706413,.3235924,.3208299,.4106202,.3991204,518038,394636,333422,221534,415872,382368,320258,200975
1500,"Wilmington",361559,37,"North Carolina","NC",81.97722,82.82255,84.37641,84.91889,85.25724,85.73158,87.96846,88.26938,75.10706,76.08959,80.31246,80.8956,82.79126,83.26666,85.21981,85.58064,.2979857,.2952914,.3503822,.3397137,.394322,.3801521,.3787013,.361348,.24314,.255605,.3175457,.3160348,.3544424,.3452478,.4267996,.4150519,307223,263087,243156,211035,252253,240045,228908,190717
1600,"Rocky Mount",216840,37,"North Carolina","NC",81.76493,83.21021,84.40891,85.22867,85.79926,86.34068,86.78582,87.172,74.66435,76.27249,78.64721,79.55955,81.42147,82.02917,83.22473,83.64873,.3830496,.3887341,.4834864,.4715028,.5426033,.5216532,.7311977,.6975925,.3207009,.3444984,.4092767,.4151908,.5314168,.520959,.6595966,.6414213,191879,147126,121048,84815,153926,135747,115643,77668
1701,"Raleigh",1412127,37,"North Carolina","NC",81.61012,82.53999,84.37074,84.917,86.40096,86.77892,88.05096,88.19787,75.63148,76.59348,79.52669,80.15549,82.83942,83.29427,85.92976,86.15278,.1986798,.2078604,.2078806,.205101,.2173621,.210916,.2108268,.2079805,.1555021,.174429,.1891713,.1933173,.2017029,.1980596,.1978449,.1916035,817631,960378,983683,1250601,742356,805972,915902,1225689
1702,"Henderson",62926,37,"North Carolina","NC",81.68027,83.29826,83.53846,84.28398,84.68504,85.42427,87.47549,88.05101,75.1613,77.06528,80.25864,81.06903,82.80006,83.53333,83.29658,83.97956,.6797243,.6596982,.8969488,.8780676,1.23951,1.183894,1.602557,1.497151,.5489623,.5717189,.8171567,.8096127,.9899805,.9533206,1.427841,1.377799,62644,40748,27531,14312,50008,38378,25663,12216
1800,"Goldsboro",222553,37,"North Carolina","NC",81.22019,82.33424,83.39977,84.21707,84.07401,84.67539,86.55866,86.92143,74.65281,75.8088,78.97024,79.75005,80.7141,81.3465,83.80816,84.28143,.403843,.4059432,.4561366,.4323374,.635015,.6119505,.8061507,.7711989,.3110757,.3297742,.4183721,.4138455,.5134062,.5053273,.7859132,.7552933,176685,138315,112931,61428,148961,139402,106811,54226
1900,"Jacksonville",536909,37,"North Carolina","NC",81.32935,82.30643,83.98433,84.53871,85.54794,85.99213,86.64978,86.97359,75.2296,76.37349,79.41053,80.07028,82.38752,82.91459,84.65181,85.04446,.2802197,.2803763,.3440505,.3327037,.3536807,.3410568,.4469391,.4314028,.2249077,.2421045,.2879077,.2848706,.3188111,.3129547,.4309124,.4174738,391718,333543,314216,222216,314456,314438,298697,198977
2000,"Virginia Beach",1119468,51,"Virginia","VA",80.73726,81.74796,83.11674,83.67298,85.13909,85.43549,86.94429,87.11184,74.34988,75.55627,78.50139,79.19199,81.87438,82.3092,85.02554,85.31182,.2142487,.2397676,.2341949,.2394163,.2470823,.2483948,.2603598,.2586478,.1724224,.2051727,.2062174,.2168099,.2135672,.214599,.2522995,.247594,692607,702236,744420,681509,537349,653732,740058,647532
2100,"Washington",124216,37,"North Carolina","NC",81.85366,82.96811,83.43896,84.22147,86.63766,87.04077,86.60972,86.96574,75.06155,76.28431,79.99435,80.76921,80.47751,80.9908,84.27247,84.68567,.5000679,.4856114,.6447583,.6147243,.6725365,.6406564,.8791506,.8380966,.4004707,.4103765,.5198076,.5063491,.5612286,.5498953,.7291592,.7054884,118182,89399,77287,54524,96766,87253,73472,47559
2200,"South Boston",158234,51,"Virginia","VA",82.43508,83.58822,83.68833,84.6078,85.61884,86.30084,86.94442,87.31292,75.11217,76.44463,80.50417,81.48984,82.42377,83.15137,85.01437,85.44169,.4247949,.418261,.5349157,.5154017,.6590876,.6247119,.927706,.8887028,.332076,.3432235,.4443161,.4366375,.60738,.5924145,.7976815,.7686305,132391,107900,83357,41244,116597,108307,76760,35349
2300,"Lynchburg",228616,51,"Virginia","VA",81.68881,82.52364,84.92656,85.48373,86.29614,86.66026,88.06506,88.37761,75.47792,76.43114,79.86241,80.51012,83.03876,83.4782,85.24577,85.633,.4126432,.4024256,.4155712,.3970577,.4774406,.4574091,.5414457,.5128716,.3342606,.3388243,.3911659,.3846948,.4632655,.4535145,.5505429,.5321386,161391,170885,169901,123879,138784,162754,164223,112562
2400,"Richmond",1040192,51,"Virginia","VA",80.46831,81.72845,83.73921,84.4279,85.43333,85.88847,87.22943,87.53007,74.50021,75.87219,78.84308,79.65324,82.03178,82.57092,85.13435,85.48879,.2157808,.2456536,.2328578,.2329798,.2454002,.23961,.2384929,.2307102,.1715803,.1992918,.1956707,.2048278,.2164447,.2169537,.2258207,.220893,610499,743771,782606,872030,526973,623364,733580,832227
2500,"Newport News",570854,51,"Virginia","VA",81.50818,82.48958,84.22298,84.80363,85.20907,85.74432,87.93591,88.1767,74.29874,75.55515,78.95247,79.74113,82.14392,82.75273,85.11145,85.48595,.3033427,.3073175,.3117207,.3075052,.3227887,.3089085,.3037216,.2934963,.2299844,.2545366,.2787693,.2796369,.2925218,.2883373,.3022198,.2957407,357941,361316,404809,391899,275022,343859,409851,358647
2600,"Roanoke Rapids",139055,37,"North Carolina","NC",82.59805,84.12593,83.36272,84.30265,85.59161,86.3639,87.51255,88.02672,74.79374,76.57037,79.95835,80.92126,81.26208,82.06971,83.50614,84.13738,.4707698,.4771959,.6282659,.6124799,.7641683,.7226428,1.032092,.9825565,.3496895,.3844917,.5395564,.5429708,.729002,.7179893,1.036467,1.003633,135798,84698,61625,31405,106119,88120,57469,27334
2700,"Gulfport",458674,28,"Mississippi","MS",81.04319,81.58818,83.04976,83.54268,83.37411,83.8278,85.86573,86.24729,74.42551,75.20714,78.70227,79.27881,80.82229,81.31758,84.19968,84.58134,.2827317,.2814383,.3283019,.3191238,.4078018,.394236,.4917113,.4693785,.2119725,.2184052,.2694505,.2718958,.3517931,.3482597,.458086,.4422143,351504,285178,254742,174993,303933,298555,260280,165198
2800,"Laurel",120505,28,"Mississippi","MS",82.00941,83.04118,83.69776,84.31647,84.85247,85.36991,87.4081,87.75642,75.6538,76.84769,79.21758,79.90267,81.97605,82.49455,82.88851,83.3694,.5443662,.5302179,.734786,.7098697,.9175971,.8777241,1.028471,.9762782,.4422635,.4441101,.6358953,.630744,.8174895,.7949756,1.110826,1.073213,95866,63830,48663,28049,79673,71076,47983,26181
2900,"Hattiesburg",157181,28,"Mississippi","MS",81.28736,82.31044,85.6128,86.15569,84.77513,85.21194,87.45859,87.75609,75.22175,76.43566,80.08491,80.78397,83.45138,83.86642,84.18617,84.58466,.4820641,.4698457,.5898835,.5646545,.7182432,.6937376,.8942262,.8579341,.3834839,.3928917,.4981182,.4890931,.6663261,.646481,.8615117,.8331769,134918,92050,77373,58506,111502,93285,75470,55527
3001,"Kosciusko",41270,28,"Mississippi","MS",82.35564,83.80174,83.32507,84.27637,88.20742,88.69309,82.70023,83.15169,75.00214,76.92078,78.5517,79.58411,80.73711,81.48431,85.83878,86.27451,.9388829,.9129851,1.306536,1.269697,1.36096,1.290987,2.391211,2.352932,.6608204,.6697574,1.040451,1.034005,1.47242,1.444674,1.763959,1.706091,42512,19793,12516,6578,35255,20538,12028,5715
3002,"Yazoo City",39355,28,"Mississippi","MS",80.35785,81.99806,82.33622,83.15824,86.50281,87.27096,82.59412,83.30555,73.3279,75.17057,78.85945,79.73022,80.88562,81.88866,82.19022,82.75687,1.011513,1.003976,1.512619,1.483211,1.583314,1.457225,2.229694,2.182444,.7045295,.7293704,1.219572,1.202696,1.374348,1.311756,2.201388,2.183857,34397,15564,11670,7171,29480,16169,11634,6400
3003,"Jackson",546560,28,"Mississippi","MS",81.3051,82.70912,83.78242,84.64542,86.47328,87.03527,87.26641,87.62834,74.32171,75.97562,79.09212,80.06124,82.21637,82.88927,83.71156,84.1602,.2780341,.301491,.3217879,.318933,.3748037,.3609716,.4285195,.4111732,.2231075,.2649433,.2903774,.2973385,.3449648,.3395491,.3863391,.3775065,427170,336501,285185,262848,347874,296335,269384,247537
3101,"McComb",103602,28,"Mississippi","MS",81.88687,83.18161,84.24404,85.04979,84.25443,84.79886,87.73232,88.15264,74.69086,76.26779,80.29631,81.16609,81.91558,82.48397,82.71799,83.28625,.5658857,.5565685,.7695212,.7372206,1.03834,1.000737,1.152842,1.09236,.4262654,.4386256,.6783439,.6673064,.8308887,.8098853,1.336751,1.302315,98687,53423,39636,23403,80171,56588,38745,21906
3102,"Brookhaven",46424,28,"Mississippi","MS",81.09533,82.22664,84.41643,85.03937,84.36269,84.826,87.51003,87.73392,73.99055,75.30967,79.82214,80.55755,82.01223,82.48715,83.2653,83.56904,.8766351,.8547977,1.034381,.9931406,1.31013,1.261862,1.496575,1.450284,.6336797,.6379235,.9035941,.8819855,1.106809,1.080539,1.561551,1.532241,40383,27354,22799,15175,33416,29087,24082,14474
3201,"Jena",25202,22,"Louisiana","LA",80.52231,81.26626,83.37295,83.93997,86.42738,86.83601,88.67601,88.93143,76.13658,77.06947,79.05183,79.63636,82.33299,82.83852,83.80228,84.23126,1.040122,1.020003,1.574847,1.507258,1.820059,1.723789,2.033637,1.9236,.9350625,.9225829,1.210645,1.185892,1.65107,1.603097,2.876788,2.785575,20808,13840,11851,7109,17535,14975,12481,6575
3202,"Natchez",69653,28,"Mississippi","MS",80.42849,81.91483,82.02832,82.89596,83.94891,84.5359,84.89613,85.58369,75.30332,76.95503,81.09032,81.81806,80.46384,81.07443,82.98037,83.64569,.6657646,.6648448,.9108906,.8798026,1.065493,1.026404,1.447309,1.378061,.5231748,.5409288,.8037565,.7823024,1.007107,.9902515,1.278339,1.226764,66451,36460,26264,16990,53391,36665,24894,15829
3203,"Vicksburg",84943,28,"Mississippi","MS",80.23283,82.06262,84.6585,85.55156,84.25618,84.95692,85.65763,86.13366,73.73258,75.64977,77.362,78.37885,81.90034,82.59298,84.53038,84.98044,.6944311,.6966602,.8138422,.7822896,.9471468,.9091284,1.215936,1.164283,.4786384,.5267246,.7283502,.7350214,.871892,.8496202,1.065284,1.02395,70402,42294,33634,28643,56622,41699,33843,27076
3300,"New Orleans",1381652,22,"Louisiana","LA",81.56743,82.45091,83.88789,84.42313,84.65346,85.03162,86.69224,86.95418,75.2057,76.2933,79.37693,80.00723,81.46421,81.88799,84.40422,84.70335,.1784954,.1980103,.2216309,.2191962,.2518863,.2448962,.2847956,.2740553,.1449381,.1725638,.1889272,.1942342,.220417,.2174323,.2555209,.2502567,967442,748570,637085,627571,809325,697721,627503,611730
3400,"Houma",271365,22,"Louisiana","LA",81.28601,82.14898,83.53037,84.06638,84.66786,85.12569,85.62623,85.93724,74.82433,75.82396,80.13895,80.68002,82.0665,82.51265,83.5284,83.85574,.3862105,.3775326,.4898005,.4696075,.5328231,.5105587,.6797784,.6569135,.2945473,.3013982,.3534307,.3472573,.4331356,.4229683,.6183535,.599883,201436,147643,153983,113441,167768,175579,169981,112576
3500,"Baton Rouge",806561,22,"Louisiana","LA",81.33324,82.58186,83.79916,84.43929,85.48679,85.96102,87.75708,88.05489,74.50619,75.99966,79.57658,80.30228,82.41911,82.92578,84.17318,84.54605,.2253234,.2425826,.2831092,.2797459,.3010071,.293682,.3200437,.3075887,.1895764,.2149451,.2373988,.2396952,.2761076,.2727338,.3027948,.2959781,594983,477956,445212,446568,452194,441594,458154,436231
3600,"Alexandria",186516,22,"Louisiana","LA",81.18358,82.23242,84.26656,84.92791,85.6898,86.01405,85.09573,85.3763,74.93123,76.08758,78.67133,79.41437,81.18541,81.60166,83.85796,84.16386,.4079894,.3979731,.4981323,.4736171,.6027761,.5806811,.8717186,.8436568,.3344367,.3419666,.4568619,.455103,.5636199,.5546445,.8110502,.7903249,156653,113626,96224,66814,130347,110475,93490,62970
3700,"Lake Charles",335960,22,"Louisiana","LA",80.20114,81.03912,83.72147,84.29063,83.93364,84.37527,86.00429,86.37094,74.50003,75.49362,78.16147,78.85672,81.06669,81.53828,82.42061,82.89262,.3279877,.3248855,.4079844,.3913561,.499492,.4809013,.6010806,.5746068,.2660359,.2707973,.3395454,.3408506,.4133885,.4061602,.5350403,.5212979,238648,183804,182454,135480,189847,189302,195819,131391
3800,"Lafayette",548154,22,"Louisiana","LA",81.48969,82.51241,83.68481,84.24666,85.58179,85.98425,86.6445,86.93826,75.39288,76.58369,80.36674,80.96234,81.96274,82.41584,84.49176,84.80613,.2801235,.2806207,.3509435,.339824,.4085059,.3944132,.4849225,.4663124,.2111823,.2255397,.3029436,.3007204,.3511804,.3436606,.4342237,.4206962,425763,301050,277801,230612,338553,314990,294387,228085
3901,"Monroe",253878,22,"Louisiana","LA",80.49924,81.65625,83.48391,84.13013,85.31933,85.79578,86.3345,86.7576,74.45078,75.73515,79.60696,80.30335,81.76032,82.27898,83.62193,84.06144,.3668815,.3709111,.4867477,.4725895,.5915485,.5652043,.6908249,.659534,.2976391,.3134048,.4098439,.4079468,.511885,.5080035,.6204399,.5974567,214852,139499,117719,89711,173929,134381,116942,84267
4001,"Magnolia",34162,5,"Arkansas","AR",79.8341,81.10002,83.20934,84.0838,84.45825,84.96815,86.79288,87.19711,72.86939,74.22224,78.6513,79.55962,80.88042,81.41614,82.74963,83.23335,.9794188,.9513404,1.247714,1.191401,1.360844,1.304322,1.950574,1.863221,.6680874,.6756549,1.054278,1.042307,1.35564,1.324121,1.8065,1.758017,26378,17584,15198,9866,21131,19314,15448,8857
4002,"Shreveport",499101,22,"Louisiana","LA",80.69445,81.9524,83.65523,84.43272,85.13064,85.60217,86.68799,87.12453,74.16111,75.59414,78.49635,79.35595,81.66441,82.21419,84.31615,84.7912,.2791587,.3049628,.3444652,.3368118,.3732329,.3620656,.4614086,.4397659,.2119216,.2374494,.29322,.2986613,.3289318,.3238685,.441137,.4237015,401842,289048,253002,202911,314732,273559,247257,188474
4003,"Ruston",74800,22,"Louisiana","LA",79.20121,80.45851,82.91682,83.78738,85.80545,86.35092,86.88705,87.2547,73.77835,75.10506,79.40806,80.26946,81.64466,82.25716,82.4231,82.89503,.6939313,.6871277,.8521385,.8087091,1.02169,.9668519,1.110377,1.057554,.5303549,.5402802,.7205735,.7091605,.880447,.863096,1.157067,1.134977,51914,38946,36220,27092,41167,40519,37119,24567
4102,"Pine Bluff",168122,5,"Arkansas","AR",79.89725,81.24519,83.57722,84.38013,84.79982,85.46255,86.22687,86.63148,74.72706,76.23005,77.98391,78.88094,81.45259,82.13918,83.62144,84.10361,.4348097,.4530178,.564995,.5442588,.6853724,.6573807,.8286682,.7982708,.3827931,.3943204,.4961085,.4942818,.5820284,.5720302,.8423196,.8163767,129456,94669,74105,46121,105536,92461,73383,41379
4103,"El Dorado",89373,5,"Arkansas","AR",78.99319,80.39952,83.28306,84.01352,85.42016,85.97819,86.37952,86.77541,73.48366,75.03399,77.54854,78.35732,81.01898,81.67511,84.61605,85.02013,.5772189,.5730267,.6831719,.659393,.8671373,.8240068,1.134197,1.081657,.4436532,.4561638,.5888156,.5869623,.8189578,.8020171,.9799862,.9415237,71242,52931,44746,27734,58163,56608,45398,25275
4200,"Little Rock",630854,5,"Arkansas","AR",79.84695,80.6972,83.50587,84.10931,85.06816,85.46173,87.62373,87.87194,74.42846,75.3893,78.76657,79.44566,81.85647,82.30922,84.4221,84.76693,.2604347,.2617023,.295153,.2844111,.3271981,.3191342,.353174,.3421386,.1998962,.2053366,.2422464,.2470711,.288669,.2882304,.3126768,.306057,414285,436648,419329,358972,374253,391702,392866,337264
4301,"Stuttgart",40542,5,"Arkansas","AR",80.58673,81.62849,82.3606,83.04927,84.64325,85.01963,83.87257,84.30175,74.56132,75.72101,77.77391,78.51736,81.10278,81.52554,84.37781,84.73237,.905502,.878055,1.031435,.9927539,1.321993,1.274461,1.962326,1.907888,.6396211,.6408369,.8752725,.8659697,1.157682,1.131415,2.000739,1.952886,33220,26341,18899,9954,29293,27994,18206,8583
4302,"Searcy",94324,5,"Arkansas","AR",81.0915,81.74,84.17428,84.56342,84.87476,85.24419,89.085,89.25301,74.13184,74.8258,79.31064,79.76931,82.28743,82.64766,84.45418,84.79619,.5804568,.5572587,.6890368,.6611626,.8829409,.8495647,.906379,.8632048,.4170257,.4202195,.6000401,.5881937,.764072,.7393888,1.191603,1.148409,76301,62979,52554,27477,69676,64980,51055,24690
4401,"Corbin",144931,21,"Kentucky","KY",80.82101,81.28002,84.25102,84.65139,84.45349,84.85195,86.86948,87.09621,75.72746,76.19504,79.54458,80.02302,83.20808,83.56875,83.87942,84.23911,.4658115,.45558,.6379522,.6115692,.8715701,.8380184,1.276256,1.224665,.3783323,.3820322,.5465741,.5391437,.7675704,.7431617,1.097094,1.057245,116937,86222,61598,29317,111153,86674,59185,27561
